Feature,Importance
X1,0.02718462602328782
X3,0.020419412201712152
X21,0.01939808690599446
X20,0.0173254239212852
X5,0.017294136297608828
X16,0.01357657115117055
X17,0.013571725625836764
X12,0.011420923228799383
X6,0.010973911885589509
X10,0.00890942129488548
X9,0.008108653283630451
X14,0.007770070325845331
X23,0.006922294043443113
X18,0.0068004705855411254
X22,0.006491305550669588
X24,0.006394005777539961
X7,0.005886559226385307
X11,0.005876256777551495
X19,0.0050482214809149575
X15,0.0036993312615741644
X2,0.0029830132242438427
X8,0.001856339521555206
X13,0.0007539494863826853
X4,0.00023136896825465486
