,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,"Y(1=default, 0=non-default)"
X1,1.0,-0.07201308770244373,0.19219068812042137,-0.04274415585509934,0.22286685996768088,0.10633875189396133,0.04326127980828943,-0.04223368905585877,-0.032260126098453586,0.05975113662921982,0.04684134575680963,0.0760051374104039,-0.014145426503208517,0.06629583402471492,-0.02675796124183542,-0.06955884089050236,0.06430346051910542,0.12233339378503219,-0.05077983051456752,-0.09189685310635656,0.12943385885219255,-0.04715204868388868,-0.04057250990567033,0.055183051158611766,-0.3508474828267775
X2,-0.07201308770244373,1.0,-0.07718646618289084,0.6247497422490379,0.04766092380191635,0.057381027400711444,0.014789331960984248,0.03406720161114831,0.3039712452319382,-0.03613637401909835,-0.05488397888400321,-0.011283597446143033,-0.023834475397621752,0.16471820703747458,-0.1381962852934742,-0.10999853959716639,0.14493890279178318,0.009992517436379248,0.029698126317616813,-0.06441714422185285,-0.0751692492915072,-0.04404328875781012,-0.1812029555843807,0.0550098863544776,0.2149266654418908
X3,0.19219068812042137,-0.07718646618289084,1.0,-0.06013980806016823,0.039057880741494744,0.13822521577981642,0.04217088089428827,0.06319796870670837,-0.053776759770163086,0.14708572469584472,0.12197340167211282,0.43706576967471,0.011549553798547442,0.05237018878047684,0.013873303390670408,0.04247999570734403,0.03909631119246287,0.030803164378758283,0.007709702010460884,-0.10254000327864167,0.10090528481919404,-0.006234408466010482,-0.0069279076458549195,0.0031568477253739826,-0.2287847330545443
X4,-0.04274415585509934,0.6247497422490379,-0.06013980806016823,1.0,0.06476819247279667,-0.008298932944098336,-0.01650739697939152,0.02896164058765552,0.31187597528136574,0.0326656171491023,-0.045489276237362784,0.020524078437744897,0.01641888157076785,0.2772520233144801,-0.05014816944654491,-0.040515132926695514,0.251972798201667,-0.0038867900567367175,0.0787312934648143,-0.024596950753010844,-0.1172649797613501,-0.02719432875831436,-0.16211923537301054,-0.09255990211286481,0.15406674949591465
X5,0.22286685996768088,0.04766092380191635,0.039057880741494744,0.06476819247279667,1.0,0.12094951392597299,0.017348688529194984,0.09142410921889176,0.01894800146372387,0.08424538257843292,0.001907967226361077,-0.021644133387960545,0.02751378901841346,0.08720840171184838,0.007094965994259177,-0.0023481794932690334,0.11288031065672911,0.0997797246252268,-0.03929473264316053,-0.007920351752986835,0.005788202983085519,0.020246316750991176,-0.0538236168048893,0.05488811012970856,-0.17894273593792134
X6,0.10633875189396133,0.057381027400711444,0.13822521577981642,-0.008298932944098336,0.12094951392597299,1.0,0.11127828794546697,0.24508074505937855,0.08718746790787661,0.25622736208175817,-0.040153588360527924,0.12579065113854762,0.09719200401397818,0.0605180806674535,-0.027231899468497845,-0.021231845908257767,0.03935800998520277,0.019135819353547603,-0.03651313723715336,-0.0815075805163361,0.007702474165212894,-0.25655131257132363,-0.014076320734761547,0.12018857578193216,-0.11600203637423151
X7,0.04326127980828943,0.014789331960984248,0.04217088089428827,-0.01650739697939152,0.017348688529194984,0.11127828794546697,1.0,-0.02726903201590307,-0.00694047698631292,0.00778307817334655,-0.036764526864361276,0.0646718728917032,0.12216484500751058,0.027274874798552694,0.06561790334230344,0.014724755052360872,0.04069364547272106,-0.04657825284598297,0.01452238133517816,-0.09980524810620381,0.052269571534353056,-0.02893703631216268,0.019781668714776497,0.009774852636614904,-0.08818430053669707
X8,-0.04223368905585877,0.03406720161114831,0.06319796870670837,0.02896164058765552,0.09142410921889176,0.24508074505937855,-0.02726903201590307,1.0,0.14723111581573034,0.266419183969461,0.0020886735202172092,0.08962523262254277,0.04264342597522536,0.09535936697416632,-0.0540973961784905,0.019847992733304117,0.1072566929960579,0.0205527449617834,0.0016228795687966036,0.1672849336826163,-0.2975473191179945,-0.03454539888558352,0.009064819726578336,-0.0006571372397738576,0.0029671587541553004
X9,-0.032260126098453586,0.3039712452319382,-0.053776759770163086,0.31187597528136574,0.01894800146372387,0.08718746790787661,-0.00694047698631292,0.14723111581573034,1.0,0.07260626347136481,-0.09003258065305716,-0.007765019715951739,0.011871999219640274,0.19680158260952718,-0.13246179623781354,-0.02423904764163219,0.1727759016093225,0.11905050395201482,0.025569083377343677,-0.05736101977681515,-0.3080091090567656,0.007300070671190412,-0.2515043192834827,0.036425211403993865,0.1426119733725256
X10,0.05975113662921982,-0.03613637401909835,0.14708572469584472,0.0326656171491023,0.08424538257843292,0.25622736208175817,0.00778307817334655,0.266419183969461,0.07260626347136481,1.0,-0.04234573931354086,0.14925358219009058,0.11820083281906714,0.1452587006839702,-0.006151395968809716,0.07504412047825927,0.05085786361160176,0.030821711822058163,-0.01835693551676335,-0.21262041600292306,0.006552664340659187,0.05995357357200324,0.04371236958564418,-0.1482827249214327,-0.09112740931949911
X11,0.04684134575680963,-0.05488397888400321,0.12197340167211282,-0.045489276237362784,0.001907967226361077,-0.040153588360527924,-0.036764526864361276,0.0020886735202172092,-0.09003258065305716,-0.04234573931354086,1.0,-0.04844223304831846,-0.07689064177166294,-0.019360609000349985,0.015211395066855753,0.010214933642556552,0.011545650142303805,0.0477232126713736,0.0023240215613904796,0.048731586870779414,0.0022725336214674814,0.011116679796399664,-0.05317277079160626,0.08443543325795136,-0.10984409867605183
X12,0.0760051374104039,-0.011283597446143033,0.43706576967471,0.020524078437744897,-0.021644133387960545,0.12579065113854762,0.0646718728917032,0.08962523262254277,-0.007765019715951739,0.14925358219009058,-0.04844223304831846,1.0,0.10966670041593389,0.06555321277948375,-0.009716974731549791,0.035845121283775,-0.005248001073245462,0.022965585372432453,-0.0060007374287332745,-0.058070495578222824,0.041385568221116414,0.05958207134993271,-0.010392029460281428,-0.0014708278304139365,-0.04573248933920639
X13,-0.014145426503208517,-0.023834475397621752,0.011549553798547442,0.01641888157076785,0.02751378901841346,0.09719200401397818,0.12216484500751058,0.04264342597522536,0.011871999219640274,0.11820083281906714,-0.07689064177166294,0.10966670041593389,1.0,-0.014753439338347336,0.07707085312345109,0.10266258739465192,0.05486157064902622,-0.005565658365719681,-0.03281674300106376,-0.06303293305111135,-0.02757895700598116,-0.007723406358332311,0.14506582086777964,-0.10673663224582322,-0.0030148530833446012
X14,0.06629583402471492,0.16471820703747458,0.05237018878047684,0.2772520233144801,0.08720840171184838,0.0605180806674535,0.027274874798552694,0.09535936697416632,0.19680158260952718,0.1452587006839702,-0.019360609000349985,0.06555321277948375,-0.014753439338347336,1.0,-0.10740090936998654,-0.03627477804867045,0.1366929066918182,0.06716511453979468,-0.01607391636703062,-0.04952421192692596,-0.03627473433634383,-0.040123850970263504,-0.2537204885657204,-0.061288877474007394,-0.036466190179963456
X15,-0.02675796124183542,-0.1381962852934742,0.013873303390670408,-0.05014816944654491,0.007094965994259177,-0.027231899468497845,0.06561790334230344,-0.0540973961784905,-0.13246179623781354,-0.006151395968809716,0.015211395066855753,-0.009716974731549791,0.07707085312345109,-0.10740090936998654,1.0,0.154436241238194,-0.03156382383680063,-0.11964057937709628,0.06633786375082007,0.03284861643785555,0.01896038404863889,0.04283412656924642,0.08741177488463404,-0.04729248424162843,-0.0820794987814965
X16,-0.06955884089050236,-0.10999853959716639,0.04247999570734403,-0.040515132926695514,-0.0023481794932690334,-0.021231845908257767,0.014724755052360872,0.019847992733304117,-0.02423904764163219,0.07504412047825927,0.010214933642556552,0.035845121283775,0.10266258739465192,-0.03627477804867045,0.154436241238194,1.0,-0.1872905800631908,0.006197086241184512,0.00483618034983623,-0.011620405435334045,-0.009617929714854178,0.09423261347304383,0.07204063393595805,-0.08522258444270693,0.09690047108093183
X17,0.06430346051910542,0.14493890279178318,0.03909631119246287,0.251972798201667,0.11288031065672911,0.03935800998520277,0.04069364547272106,0.1072566929960579,0.1727759016093225,0.05085786361160176,0.011545650142303805,-0.005248001073245462,0.05486157064902622,0.1366929066918182,-0.03156382383680063,-0.1872905800631908,1.0,0.06319699231382524,-0.05347419306251051,0.03915953632705842,-0.14137524566426984,-0.028394753575518437,-0.11185723586847567,-0.033321373028744494,-0.09979075742999809
X18,0.12233339378503219,0.009992517436379248,0.030803164378758283,-0.0038867900567367175,0.0997797246252268,0.019135819353547603,-0.04657825284598297,0.0205527449617834,0.11905050395201482,0.030821711822058163,0.0477232126713736,0.022965585372432453,-0.005565658365719681,0.06716511453979468,-0.11964057937709628,0.006197086241184512,0.06319699231382524,1.0,-0.6457208265764871,-0.0480788456067014,0.002351947635942659,0.0010797717132153466,-0.029266703509655163,-0.010055481193373902,-0.0007513550934163755
X19,-0.05077983051456752,0.029698126317616813,0.007709702010460884,0.0787312934648143,-0.03929473264316053,-0.03651313723715336,0.01452238133517816,0.0016228795687966036,0.025569083377343677,-0.01835693551676335,0.0023240215613904796,-0.0060007374287332745,-0.03281674300106376,-0.01607391636703062,0.06633786375082007,0.00483618034983623,-0.05347419306251051,-0.6457208265764871,1.0,0.048161544162525195,-0.03604281970281949,0.037750294181843023,-0.027737125883782236,-0.00866973301730896,0.06272836622171613
X20,-0.09189685310635656,-0.06441714422185285,-0.10254000327864167,-0.024596950753010844,-0.007920351752986835,-0.0815075805163361,-0.09980524810620381,0.1672849336826163,-0.05736101977681515,-0.21262041600292306,0.048731586870779414,-0.058070495578222824,-0.06303293305111135,-0.04952421192692596,0.03284861643785555,-0.011620405435334045,0.03915953632705842,-0.0480788456067014,0.048161544162525195,1.0,-0.7359676982390786,0.01888624655078464,0.014347115529076013,0.012048573525199982,0.09278544671300058
X21,0.12943385885219255,-0.0751692492915072,0.10090528481919404,-0.1172649797613501,0.005788202983085519,0.007702474165212894,0.052269571534353056,-0.2975473191179945,-0.3080091090567656,0.006552664340659187,0.0022725336214674814,0.041385568221116414,-0.02757895700598116,-0.03627473433634383,0.01896038404863889,-0.009617929714854178,-0.14137524566426984,0.002351947635942659,-0.03604281970281949,-0.7359676982390786,1.0,-0.04047990897283096,0.06300269782979216,0.012866175464130752,-0.13458877572233152
X22,-0.04715204868388868,-0.04404328875781012,-0.006234408466010482,-0.02719432875831436,0.020246316750991176,-0.25655131257132363,-0.02893703631216268,-0.03454539888558352,0.007300070671190412,0.05995357357200324,0.011116679796399664,0.05958207134993271,-0.007723406358332311,-0.040123850970263504,0.04283412656924642,0.09423261347304383,-0.028394753575518437,0.0010797717132153466,0.037750294181843023,0.01888624655078464,-0.04047990897283096,1.0,-0.07499147872518992,-0.19570923786773153,0.0059507208265775465
X23,-0.04057250990567033,-0.1812029555843807,-0.0069279076458549195,-0.16211923537301054,-0.0538236168048893,-0.014076320734761547,0.019781668714776497,0.009064819726578336,-0.2515043192834827,0.04371236958564418,-0.05317277079160626,-0.010392029460281428,0.14506582086777964,-0.2537204885657204,0.08741177488463404,0.07204063393595805,-0.11185723586847567,-0.029266703509655163,-0.027737125883782236,0.014347115529076013,0.06300269782979216,-0.07499147872518992,1.0,-0.6524382543012598,-0.021821789023599183
X24,0.055183051158611766,0.0550098863544776,0.0031568477253739826,-0.09255990211286481,0.05488811012970856,0.12018857578193216,0.009774852636614904,-0.0006571372397738576,0.036425211403993865,-0.1482827249214327,0.08443543325795136,-0.0014708278304139365,-0.10673663224582322,-0.061288877474007394,-0.04729248424162843,-0.08522258444270693,-0.033321373028744494,-0.010055481193373902,-0.00866973301730896,0.012048573525199982,0.012866175464130752,-0.19570923786773153,-0.6524382543012598,1.0,-0.013559399939321364
"Y(1=default, 0=non-default)",-0.3508474828267775,0.2149266654418908,-0.2287847330545443,0.15406674949591465,-0.17894273593792134,-0.11600203637423151,-0.08818430053669707,0.0029671587541553004,0.1426119733725256,-0.09112740931949911,-0.10984409867605183,-0.04573248933920639,-0.0030148530833446012,-0.036466190179963456,-0.0820794987814965,0.09690047108093183,-0.09979075742999809,-0.0007513550934163755,0.06272836622171613,0.09278544671300058,-0.13458877572233152,0.0059507208265775465,-0.021821789023599183,-0.013559399939321364,1.0
